id,title,description,image,category,status,date,time,duration,participants,maxParticipants,streams,organizerName,organizerAvatar,organizerOrganization,registrationLink,meetingLink,recordingLink,isFeatured,isBookmarked,tags,location,venue,speakerName,speakerRole,speakerAvatar,prerequisites,learningOutcomes,certificateOffered,registrationDeadline,createdAt
evt_011,Robotics & IoT Hands-On Workshop,Build IoT-enabled robots using Arduino Raspberry Pi and various sensors. Complete 3 practical projects during the workshop.,https://images.unsplash.com/photo-1561557944-6e7860d1a7eb?w=800&h=450&fit=crop,workshop,registration-open,2024-11-05T10:00:00+05:30,10:00 AM IST,1 day,256,400,"Mechatronics,Electronics,CSE,Robotics",Robotics Club IIT Delhi,https://images.unsplash.com/photo-1535713875002-d1d0cf377fde?w=100,IIT Delhi,https://robotics.iitd.ac.in/events,,,FALSE,FALSE,"Robotics,IoT,Arduino,Raspberry Pi,Hardware",in-person,"IIT Delhi Campus, New Delhi",Prof. Vikram Mehta,Head - Robotics Lab,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,Basic electronics,"IoT device building|Arduino/RPi programming|Sensor integration|Robotics fundamentals",TRUE,2024-11-02T23:59:59+05:30,2024-10-18T11:00:00+05:30
evt_012,Introduction to Generative AI with ChatGPT,Explore the world of Generative AI Large Language Models and prompt engineering. Learn to build AI-powered applications with OpenAI APIs.,https://images.unsplash.com/photo-1677756119517-756a188d2d94?w=800&h=450&fit=crop,webinar,registration-open,2024-11-12T19:00:00+05:30,7:00 PM IST,2 hours,1847,2500,"CSE,AI/ML,IT,Data Science",AI Developers Community,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,OpenAI Community,https://community.openai.com/events,https://zoom.us/j/genai2024,,,FALSE,TRUE,"Generative AI,ChatGPT,LLM,Prompt Engineering,OpenAI",online,Virtual Session,Dr. Meera Reddy,AI Researcher,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=100,None - Beginner friendly,"Generative AI concepts|Prompt engineering|API integration|AI application building",TRUE,2024-11-11T23:59:59+05:30,2024-10-25T14:00:00+05:30
evt_013,Cybersecurity Fundamentals Bootcamp,Comprehensive workshop on ethical hacking network security and threat detection. Learn penetration testing tools and security best practices.,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=800&h=450&fit=crop,workshop,registration-open,2024-11-20T10:00:00+05:30,10:00 AM IST,2 days,687,1000,"CSE,IT,Cybersecurity,Networks",CyberSec Academy,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,Cybersecurity Institute,https://cybersecacademy.in/bootcamp,,,FALSE,FALSE,"Cybersecurity,Ethical Hacking,Network Security,Penetration Testing",hybrid,Pune & Online,Arjun Khanna,Security Consultant,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=100,Basic networking knowledge,"Ethical hacking|Security tools|Threat detection|Penetration testing|Security protocols",TRUE,2024-11-15T23:59:59+05:30,2024-10-20T10:00:00+05:30
evt_014,Data Science with Python Workshop,Master data analysis visualization and machine learning with Python. Work with Pandas NumPy Matplotlib and Scikit-learn on real datasets.,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800&h=450&fit=crop,workshop,upcoming,2024-11-25T15:00:00+05:30,3:00 PM IST,4 hours,1234,1800,"CSE,Data Science,AI/ML,Statistics",DataCamp India,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,DataCamp,https://datacamp.com/workshops,https://zoom.us/j/datasci2024,,,FALSE,TRUE,"Data Science,Python,Pandas,Machine Learning,Analytics",online,Virtual Workshop,Dr. Kavita Singh,Data Scientist,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=100,Basic Python,"Data manipulation|Data visualization|Statistical analysis|ML basics|Real-world projects",TRUE,2024-11-23T23:59:59+05:30,2024-10-28T09:00:00+05:30
evt_015,Mobile App Development with React Native,Build cross-platform mobile apps for iOS and Android. Learn React Native components navigation state management and deployment.,https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=800&h=450&fit=crop,workshop,registration-open,2024-12-01T11:00:00+05:30,11:00 AM IST,1 day,456,700,"CSE,IT,Mobile Development",React Native School,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,Meta Developers,https://reactnative.dev/events,,,FALSE,FALSE,"React Native,Mobile Dev,iOS,Android,Cross-platform",online,Virtual Bootcamp,Jessica Lee,Mobile Developer - Meta,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=100,React basics|JavaScript knowledge,"Mobile app development|React Native|Cross-platform apps|App deployment",TRUE,2024-11-28T23:59:59+05:30,2024-10-30T10:00:00+05:30
evt_016,Blockchain & Cryptocurrency Masterclass,Deep dive into blockchain technology smart contracts DeFi and cryptocurrency. Build your first decentralized application on Ethereum.,https://images.unsplash.com/photo-1639762681485-074b7f938ba0?w=800&h=450&fit=crop,webinar,upcoming,2024-12-05T19:30:00+05:30,7:30 PM IST,2 hours,934,1500,"CSE,Blockchain,IT,Finance",Blockchain Council India,https://images.unsplash.com/photo-1535713875002-d1d0cf377fde?w=100,Blockchain Council,https://blockchain-council.org/webinars,https://zoom.us/j/blockchain2024,,,FALSE,TRUE,"Blockchain,Cryptocurrency,Smart Contracts,DeFi,Web3",online,Virtual Seminar,Rohan Desai,Blockchain Architect,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,Basic programming,"Blockchain fundamentals|Smart contracts|DeFi concepts|dApp development",TRUE,2024-12-04T23:59:59+05:30,2024-11-05T11:00:00+05:30
evt_017,UI/UX Design Thinking Workshop,Learn user-centered design principles prototyping and usability testing. Master Figma and create portfolio-ready design projects.,https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=800&h=450&fit=crop,workshop,registration-open,2024-11-18T14:00:00+05:30,2:00 PM IST,3 hours,723,1000,"Design,CSE,IT,Product Management",Design Monks,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,DesignLab India,https://designmonks.in/workshops,,,FALSE,FALSE,"UI/UX,Design Thinking,Figma,Prototyping,User Research",online,Virtual Workshop,Ananya Iyer,Senior UX Designer - Google,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=100,None - Beginner friendly,"Design thinking|Figma mastery|Prototyping|User research|Portfolio building",TRUE,2024-11-16T23:59:59+05:30,2024-10-25T10:00:00+05:30
evt_018,DevOps & CI/CD Pipeline Implementation,Master DevOps practices Docker Kubernetes Jenkins and automated deployment pipelines. Build production-ready infrastructure.,https://images.unsplash.com/photo-1667372393119-3d4c48d07fc9?w=800&h=450&fit=crop,workshop,upcoming,2024-12-10T10:00:00+05:30,10:00 AM IST,2 days,534,800,"CSE,IT,DevOps,Cloud Computing",DevOps Institute,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,Linux Foundation,https://devopsinstitute.com/events,,,FALSE,FALSE,"DevOps,Docker,Kubernetes,CI/CD,Jenkins,Automation",hybrid,Bangalore & Virtual,Michael Brown,DevOps Architect,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=100,Basic Linux|Programming knowledge,"DevOps principles|Containerization|Orchestration|CI/CD pipelines|Infrastructure automation",TRUE,2024-12-06T23:59:59+05:30,2024-11-08T09:00:00+05:30
evt_019,Game Development with Unity Workshop,Create 2D and 3D games using Unity engine. Learn C# scripting physics animations and game design principles.,https://images.unsplash.com/photo-1538481199705-c710c4e965fc?w=800&h=450&fit=crop,workshop,registration-open,2024-11-22T16:00:00+05:30,4:00 PM IST,1 day,412,600,"CSE,Game Development,Design,Animation",GameDev Academy,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,Unity Technologies,https://gamedevacademy.org/unity-workshop,,,FALSE,TRUE,"Game Dev,Unity,C#,3D Modeling,Game Design",online,Virtual Workshop,Chris Anderson,Game Developer - Ubisoft,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,Basic programming helpful,"Unity basics|C# scripting|Game physics|Animation|Complete game project",TRUE,2024-11-20T23:59:59+05:30,2024-10-28T11:00:00+05:30
evt_020,Introduction to Quantum Computing,Explore quantum mechanics quantum algorithms and quantum programming with IBM Qiskit. Future of computing technology.,https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=800&h=450&fit=crop,webinar,upcoming,2024-12-08T18:00:00+05:30,6:00 PM IST,90 minutes,1256,2000,"CSE,Physics,AI/ML,Quantum Computing",IBM Quantum,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,IBM Research,https://quantum-computing.ibm.com/events,https://zoom.us/j/quantum2024,,,TRUE,FALSE,"Quantum,Qiskit,Quantum Algorithms,Future Tech,IBM",online,Virtual Webinar,Dr. Samantha Wu,Quantum Researcher - IBM,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=100,Physics basics|Math fundamentals,"Quantum concepts|Quantum programming|Qiskit|Quantum algorithms",TRUE,2024-12-07T23:59:59+05:30,2024-11-10T10:00:00+05:30
evt_021,Natural Language Processing Workshop,Master NLP techniques text processing sentiment analysis and language models. Build chatbots and text analytics applications.,https://images.unsplash.com/photo-1676299081847-824916de030a?w=800&h=450&fit=crop,workshop,completed,2024-10-15T15:00:00+05:30,3:00 PM IST,3 hours,1534,2000,"CSE,AI/ML,Data Science,Linguistics",NLP Academy,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,Hugging Face,https://nlpacademy.io/past-events,,,https://youtube.com/watch?v=nlp2024,FALSE,FALSE,"NLP,Text Processing,Chatbots,Sentiment Analysis,Transformers",online,Virtual Workshop,Dr. Lisa Chen,NLP Researcher,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=100,Python|ML basics,"NLP fundamentals|Text processing|Sentiment analysis|Chatbot building|Language models",TRUE,2024-10-14T23:59:59+05:30,2024-09-20T09:00:00+05:30
evt_022,Ethical AI and Responsible Machine Learning,Discuss bias fairness transparency and accountability in AI systems. Learn to build responsible and ethical AI applications.,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=800&h=450&fit=crop,webinar,completed,2024-10-20T19:00:00+05:30,7:00 PM IST,2 hours,2134,2500,"CSE,AI/ML,Ethics,Philosophy",AI Ethics Foundation,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=100,Partnership on AI,https://aiethics.foundation/webinars,,,https://youtube.com/watch?v=ethicalai2024,FALSE,TRUE,"AI Ethics,Responsible AI,Fairness,Bias,Transparency",online,Virtual Conference,Dr. Priya Menon|Prof. James Wilson,Ethics Researcher|AI Policy Expert,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=100,None - Open to all,"AI ethics|Bias detection|Fairness metrics|Responsible AI practices|Policy awareness",TRUE,2024-10-19T23:59:59+05:30,2024-09-15T10:00:00+05:30
evt_023,Computer Vision and Image Processing,Learn image processing object detection facial recognition and deep learning for computer vision applications.,https://images.unsplash.com/photo-1574169208507-84376144848b?w=800&h=450&fit=crop,workshop,completed,2024-10-25T11:00:00+05:30,11:00 AM IST,4 hours,1023,1500,"CSE,AI/ML,Robotics,Electronics",CV Academy,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,OpenCV Foundation,https://cvacademy.org/workshops,,,https://youtube.com/watch?v=computervision2024,FALSE,FALSE,"Computer Vision,Image Processing,Object Detection,Deep Learning,OpenCV",online,Virtual Bootcamp,Dr. Ahmed Khan,Computer Vision Expert,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,Python|Deep learning basics,"Image processing|Object detection|Face recognition|CV applications|Deep learning for CV",TRUE,2024-10-23T23:59:59+05:30,2024-09-28T09:00:00+05:30
