provider,title,category,description,discountOfferINR,validity,verificationMethod,claimLink,badge
Sketch,UI/UX Design Tool,Design,Free Sketch license for students for interface and web design,₹7500 value,1 year renewable,Student Email,https://www.sketch.com/education/,Design
Unity,Game Development Platform,Development,Free Unity Student plan with access to Unity Pro and premium learning resources,₹15000 value,1 year renewable,Student Email,https://unity.com/products/unity-student,Development
Unreal Engine,Game Development Engine,Development,Free access to Unreal Engine with complete learning resources and marketplace assets,100% Free,Lifetime,Email registration,https://www.unrealengine.com/en-US/learn,Development
Pluralsight,Technology Skills Platform,Development,Free 6-month access through Microsoft Visual Studio Dev Essentials program,₹12000 value,6 months,Email registration,https://www.pluralsight.com/offer/visualstudio,Development
SoloLearn,Mobile Coding Courses,Development,Free interactive coding courses on mobile and web with community support,100% Free,Lifetime access,Email registration,https://www.sololearn.com/,Development
W3Schools,Web Development Tutorials,Development,Free tutorials and references for HTML CSS JavaScript and web development,100% Free,Lifetime access,No verification,https://www.w3schools.com/,Development
Scrimba,Interactive Coding Courses,Development,Free interactive frontend development courses in React Vue and JavaScript,Free (Basic),Ongoing,Email registration,https://scrimba.com/,Development
The Odin Project,Full Stack Web Development,Development,Completely free full stack curriculum from beginner to job-ready developer,100% Free,Lifetime access,Email registration,https://www.theodinproject.com/,Development
Python Institute,Python Certifications,Development,Free Python programming courses with industry-recognized PCAP certifications,Free courses,Ongoing,Email registration,https://pythoninstitute.org/,Development
Kaggle Learn,Data Science Micro-Courses,Data Science,Free hands-on data science courses with Python Pandas machine learning and more,100% Free,Lifetime access,Email registration,https://www.kaggle.com/learn,Data Science
Google Analytics Academy,Analytics Certification,Marketing,Free Google Analytics courses with certification for digital marketing analytics,100% Free,Ongoing,Email registration,https://analytics.google.com/analytics/academy/,Marketing
HubSpot Academy,Inbound Marketing,Marketing,Free marketing sales and customer service courses with HubSpot certifications,100% Free,Ongoing,Email registration,https://academy.hubspot.com/,Marketing
Meta Blueprint,Social Media Marketing,Marketing,Free Facebook and Instagram marketing courses with Meta certifications,100% Free,Ongoing,Email registration,https://www.facebook.com/business/learn,Marketing
Alison,Free Online Courses,Business,Free courses and diplomas in business technology language and more with certificates,Free (cert fee),Ongoing,Email registration,https://alison.com/,Business
OpenLearn,Open University Free Courses,Business,Free university-level courses from The Open University with completion certificates,100% Free,Ongoing,Email registration,https://www.open.edu/openlearn/,Business
Udacity,Free Courses and Nanodegrees,Development,Free introductory courses in programming data science AI with paid nanodegree options,Free (intro courses),Ongoing,Email registration,https://www.udacity.com/courses/all?price=Free,Development
Skillshare,Creative and Business Courses,Design,Free trial access to thousands of creative courses in design photography and more,30-day free trial,Trial period,Email registration,https://www.skillshare.com/,Design
Domestika,Creative Courses,Design,Frequent discounts on creative courses in illustration photography and design,Up to 75% discount,Ongoing,Email registration,https://www.domestika.org/,Design
Brilliant,Math and Science Learning,Productivity,Interactive learning in math science and computer science with student discount,50% student discount,Valid as student,Student Email,https://brilliant.org/,Productivity
Coursera Plus,Unlimited Courses,Development,Access 7000+ courses with student discount on Coursera Plus subscription,40% discount,Annual,Student Email,https://www.coursera.org/courseraplus,Development
Duolingo,Language Learning,Productivity,Free language learning platform for 40+ languages with gamified lessons,100% Free (with ads),Lifetime access,Email registration,https://www.duolingo.com/,Productivity
Memrise,Language Learning,Productivity,Free language courses using spaced repetition and native speaker videos,Free (Basic Plan),Ongoing,Email registration,https://www.memrise.com/,Productivity
Crash Course,Educational Videos,Productivity,Free educational video series on science history literature and more by John Green,100% Free,Lifetime access,No verification,https://www.youtube.com/@crashcourse,Productivity
TED-Ed,Educational Animations,Productivity,Free animated educational videos and lessons on diverse topics,100% Free,Lifetime access,No verification,https://ed.ted.com/,Productivity
Wolfram Alpha,Computational Knowledge,Productivity,Student discount on Wolfram Alpha Pro for mathematics and computational queries,50% discount,Annual,Student Email,https://www.wolframalpha.com/pro/students/,Productivity
Grammarly,Writing Assistant,Productivity,Free Grammarly account with basic grammar and spelling checks,Free (Basic),Ongoing,Email registration,https://www.grammarly.com/,Productivity
Zoom,Video Conferencing,Productivity,Free Zoom account with 40-minute meetings for study groups and collaboration,100% Free (Basic),Ongoing,Email registration,https://zoom.us/,Productivity
Slack,Team Communication,Productivity,Free Slack workspace for student organizations and project teams,100% Free (with limits),Ongoing,Email registration,https://slack.com/,Productivity
Trello,Project Management,Productivity,Free Trello boards for organizing projects assignments and team collaboration,100% Free (Basic),Ongoing,Email registration,https://trello.com/,Productivity
Asana,Task Management,Productivity,Free Asana Premium for student organizations and project management,Free upgrade,Valid as student,Student Email,https://asana.com/students,Productivity
Notion,All-in-One Workspace,Productivity,Free Notion Plus plan for students with unlimited blocks and collaboration,Free upgrade,Valid as student,Student Email,https://www.notion.so/students,Productivity
Evernote,Note-Taking App,Productivity,Student discount on Evernote Premium for advanced note-taking features,40% discount,Annual,Student Email,https://evernote.com/students,Productivity
Spotify,Music Streaming,Productivity,50% discount on Spotify Premium for students with ad-free listening,₹60/month (50% off),Renewable,Student verification,https://www.spotify.com/in/student/,Productivity
Apple Music,Music Streaming,Productivity,Student discount on Apple Music with access to 100 million songs,₹60/month,Renewable,Student verification,https://www.apple.com/in/apple-music/,Productivity
YouTube Premium,Ad-Free Videos,Productivity,Student discount on YouTube Premium with background play and offline downloads,₹80/month,Renewable,Student verification,https://www.youtube.com/premium/student,Productivity
Amazon Prime Student,Shopping and Entertainment,Productivity,50% discount on Amazon Prime with free delivery Prime Video and more,₹75/month,4 years,Student Email,https://www.amazon.in/prime/student,Productivity
LastPass,Password Manager,Productivity,Free LastPass Premium for 6 months through GitHub Student Developer Pack,₹1200 value,6 months,GitHub Student Pack,https://www.lastpass.com/github-students,Productivity
1Password,Password Manager,Productivity,Free 1Password account for students and educators for secure password management,Free for students,Valid as student,Student Email,https://1password.com/students/,Productivity
Setapp,Mac App Subscription,Productivity,50% student discount on Setapp with access to 240+ Mac and iOS apps,50% discount,Annual,Student Email,https://setapp.com/educational-discount,Productivity
Streamyard,Live Streaming Tool,Productivity,Student discount on Streamyard for creating professional live streams and recordings,₹800 value,3 months free,GitHub Student Pack,https://streamyard.com/github-students,Productivity
Bootstrap Studio,Web Design Tool,Development,Free Bootstrap Studio license for students for responsive website design,₹5000 value,Valid as student,Student Email,https://bootstrapstudio.io/pages/student-license,Development
Tower,Git Client,Development,Free Tower Git client for students for better version control workflow,₹6000 value,Valid as student,Student Email,https://www.git-tower.com/students/,Development
Postman,API Development,Development,Free Postman Professional features for students for API testing and development,₹1600 value,1 year,Student Email,https://www.postman.com/student-program/,Development
Termius,SSH Client,Development,Free Termius Premium for students for remote server management,₹4000 value,Valid as student,Student Email or GitHub Pack,https://termius.com/education,Development
Frontend Masters,Advanced Web Development,Development,6 months free through GitHub Student Developer Pack for frontend courses,₹20000 value,6 months,GitHub Student Pack,https://frontendmasters.com/welcome/github-student-developers/,Development
Interview Cake,Coding Interview Prep,Development,Free Interview Cake full course access for 3 weeks through GitHub Student Pack,₹6000 value,3 weeks,GitHub Student Pack,https://www.interviewcake.com/github-students,Development
LeetCode,Coding Practice Platform,Data Science,Premium membership discounts for practicing coding interview questions,Discounts available,Ongoing,Student Email,https://leetcode.com/,Data Science
Exercism,Code Practice and Mentoring,Development,Completely free code practice in 50+ languages with mentor feedback,100% Free,Lifetime access,Email registration,https://exercism.org/,Development
Replit,Online Code Editor,Development,Free Replit Hacker plan for students with always-on repls and more storage,₹600 value,1 year,Student Email or GitHub Pack,https://replit.com/site/github-students,Development
Codespace,Cloud Development Environment,Development,Free GitHub Codespaces hours and storage for students through GitHub Education,₹2500 value,Monthly,GitHub Student Pack,https://github.com/features/codespaces,Development
GitKraken,Git GUI Client,Development,Free GitKraken Pro for students and teachers through GitHub Student Pack,₹4000 value,Valid as student,GitHub Student Pack,https://www.gitkraken.com/github-student-developer-pack,Development
Name.com,Domain Registration,Productivity,Free domain name for 1 year with SSL certificate through GitHub Student Pack,₹800 value,1 year,GitHub Student Pack,https://www.name.com/partner/github-students,Productivity
.tech Domains,Domain Registration,Productivity,Free .tech domain for 1 year plus professional email through GitHub Student Pack,₹2500 value,1 year,GitHub Student Pack,https://get.tech/github-student-developer-pack,Productivity
Stripe,Payment Processing,Development,Waived transaction fees on first $1000 processed through GitHub Student Pack,₹3300 value,No expiry,GitHub Student Pack,https://stripe.com/gb/guides/general-stripe-for-students,Development
Twilio,Communication APIs,Development,$50 credit for Twilio APIs for SMS voice video through GitHub Student Pack,₹4150 credits,No expiry,GitHub Student Pack,https://www.twilio.com/blog/twilio-github-student-developer-pack,Development
Typeform,Online Forms and Surveys,Productivity,Free Typeform Professional plan for 1 year for creating beautiful forms,₹6000 value,1 year,Student Email,https://www.typeform.com/help/a/student-discount-360029571691/,Productivity
Airtable,Spreadsheet-Database Hybrid,Productivity,Airtable Pro plan credit through GitHub Student Developer Pack,₹2000 value,1 year,GitHub Student Pack,https://airtable.com/shrFl2UV5p9v3vVfN,Productivity
Thinkific,Online Course Platform,Business,Free Thinkific Pro plan for 1 year to create and sell online courses,₹8000 value,1 year,GitHub Student Pack,https://www.thinkific.com/github-student-developer-pack/,Business
